연도,월,시도명,시군구명,읍면동명,동리명,측정소명,수심,수온,수소이온농도,용존산소,생화학적산소요구량,화학적산소요구량,부유물질,총질소,총인 
2020,3,전라북도,익산시,성당면,부곡리,산북천,,9.3,7.6,10.6,6.5,12.3,38.8,6.938,0.46
2020,3,전라북도,익산시,망성면,무형리,마산천,,5.2,6.9,12,1.5,7,7,6.893,0.212
2020,3,전라북도,부안군,동진면,하장리,고부천2,,8.6,7,11.7,2.7,7.2,26.2,5.586,0.12
2020,3,전라북도,부안군,동진면,하장리,고부천3,,11.1,7.9,11.2,4,9.7,54.3,4.473,0.141
2020,3,전라북도,정읍시,영원면,앵성리,고부천1,,8.3,7,11.6,1.9,8.7,34.3,4.385,0.092
2020,3,전라북도,김제시,부량면,옥정리,동진강3,,10.9,8.1,11.5,2.7,6.7,11.5,3.81,0.07
2020,3,전라북도,정읍시,신태인읍,,동진강2,,8.9,7.6,11.9,0.6,2.4,7.7,2.743,0.027
2020,3,전라북도,정읍시,옹동면,산성리,동진강1,,8,7.6,12.1,0.4,1.7,2.8,2.393,0.015
2020,3,전라북도,정읍시,태인면,궁사리,용호천,,9.4,6.8,12.1,1.2,6.8,8,3.721,0.059
2020,3,전라북도,김제시,성덕면,남포리,신평천,,12.8,7.7,10.6,5.4,10.7,32.8,8.657,0.128
2020,3,전라북도,김제시,죽산면,대창리,원평천3,,10.6,8.3,12.1,4.7,9.6,33.5,3.713,0.104
2020,3,전라북도,김제시,봉남면,용신리,원평천1,,11.6,8.1,12.9,1.2,2.5,9.7,3.345,0.025
2020,3,전라북도,김제시,죽산면,죽산리,원평천2,,10.5,7.9,12,2.1,5,33.2,3.593,0.073
2020,3,전라북도,정읍시,공평동,,정읍천3,,9.4,7,11.1,0.8,3.2,9.8,2.497,0.023
2020,3,전라북도,정읍시,송산동,,정읍천1,,9.8,6.9,12.2,0.5,2.2,1.1,1.733,0.008
2020,3,전라북도,정읍시,연지동,,정읍천2,,8.9,6.7,12,0.8,2.7,3.3,2.11,0.012
2020,3,전라북도,정읍시,연지동,,천원천,,8.6,6.9,12,1,3.5,24,2.705,0.038
2020,3,전라북도,정읍시,이평면,하송리,정읍천4,,11.4,7.8,11,3.3,7.1,21.3,5.28,0.066
2020,3,전라북도,김제시,백구면,마산리,마산천,,9.1,8.6,11.5,4.1,9.7,43.3,7.277,0.212
2020,3,전라북도,완주군,삼례읍,,삼례,,10.7,7.5,11.5,1.2,3.6,11.1,5.58,0.061
